source,target,weight,evidence,sign,input_form,log2FC,padj
MAFB,DOCK4,1,DoRothEA_confC,Activator,Hill_activator,0.214733639704477,0.943227193893265
PROX1,NEDD4L,1,DoRothEA_confC,Activator,Hill_activator,0.180793709582546,0.943227193893265
MAFB,NAV2,1,DoRothEA_confC,Activator,Hill_activator,0.30250978816274,0.943781036192758
KLF5,PPL,1,DoRothEA_confC,Activator,Hill_activator,0.981695766293064,0.954548792074278
MAFB,FLNB,1,DoRothEA_confC,Activator,Hill_activator,-0.316801411474539,0.966002161369009
KLF6,SH3RF1,1,DoRothEA_confC,Activator,Hill_activator,0.261668039864408,0.973896469316643
NR2F1,ARHGEF4,1,DoRothEA_confC,Activator,Hill_activator,-0.218998679724487,0.975682908609974
POU2F1,TSC22D3,3,DoRothEA_confA,Activator,Hill_activator,-0.38797653628729,0.975682908609974
AR,ATP2B4,3,DoRothEA_confA,Activator,Hill_activator,0.189156805473519,0.976281007788099
NR2F1,PAK4,1,DoRothEA_confC,Activator,Hill_activator,1.05774893646668,0.976281007788099
AR,TNFRSF1A,3,DoRothEA_confA,Activator,Hill_activator,0.903609237440531,0.976281007788099
AR,UBE2D3,3,DoRothEA_confA,Activator,Hill_activator,-0.166258517671953,0.976281007788099
MAFB,ZMIZ1,1,DoRothEA_confC,Activator,Hill_activator,0.154562500763279,0.976281007788099
KLF5,S100A16,1,DoRothEA_confC,Activator,Hill_activator,-0.793854117726224,0.978151363952913
CREB1,NF1,3,DoRothEA_confA,Activator,Hill_activator,0.159385262819165,0.980263269972685
KLF5,FOXQ1,1,DoRothEA_confC,Activator,Hill_activator,1.01427064319454,0.983422362305592
MAFB,JMJD1C,1,DoRothEA_confC,Activator,Hill_activator,-0.157709498556814,0.983422362305592
MEF2A,JMJD1C,1,DoRothEA_confC,Activator,Hill_activator,-0.157709498556814,0.983422362305592
NR2F1,PEPD,1,DoRothEA_confC,Activator,Hill_activator,0.635596474567857,0.983422362305592
MAFB,ST18,1,DoRothEA_confC,Activator,Hill_activator,-0.343203205889203,0.983422362305592
MYCN,MXI1,3,DoRothEA_confA,Repressor,Hill_repressor,0.26911502196927,0.99130835412331
KLF5,GPR137,1,DoRothEA_confC,Activator,Hill_activator,-0.400366836875708,0.993023281365829
AR,1700025G04RIK,3,DoRothEA_confA,Activator,Hill_activator,0.149670734467023,0.999941599553479
NR2F1,ABCA2,1,DoRothEA_confC,Activator,Hill_activator,0.00871210312660469,0.999941599553479
PROX1,ABCB1A,1,DoRothEA_confC,Activator,Hill_activator,0.222290924715022,0.999941599553479
AR,ABCE1,3,DoRothEA_confA,Activator,Hill_activator,0.17477328689564,0.999941599553479
KLF5,ACTN1,1,DoRothEA_confC,Activator,Hill_activator,0.172015092611964,0.999941599553479
KLF6,ACTN1,1,DoRothEA_confC,Activator,Hill_activator,0.172015092611964,0.999941599553479
MAFB,ADAMTS2,1,DoRothEA_confC,Activator,Hill_activator,0.0358211044968498,0.999941599553479
KLF5,ADAP1,1,DoRothEA_confC,Activator,Hill_activator,0.263249752867545,0.999941599553479
NR2F1,ADAP1,1,DoRothEA_confC,Activator,Hill_activator,0.263249752867545,0.999941599553479
PROX1,ADD3,1,DoRothEA_confC,Activator,Hill_activator,-0.183951387750373,0.999941599553479
CREB1,ADRA1A,3,DoRothEA_confA,Activator,Hill_activator,0.177649737966899,0.999941599553479
MEF2A,AFAP1,1,DoRothEA_confC,Activator,Hill_activator,0.0477050175063573,0.999941599553479
PROX1,AFAP1L2,1,DoRothEA_confC,Activator,Hill_activator,-0.250163483609276,0.999941599553479
NR2F1,AGPAT3,1,DoRothEA_confC,Activator,Hill_activator,0.158587418932172,0.999941599553479
NR2F1,AGT,1,DoRothEA_confC,Repressor,Hill_repressor,-0.0626073020850666,0.999941599553479
MAFB,AKAP13,1,DoRothEA_confC,Activator,Hill_activator,-0.00870631585344278,0.999941599553479
KLF5,ALDH3A2,1,DoRothEA_confC,Activator,Hill_activator,-0.0718464732671744,0.999941599553479
AR,ANAPC10,3,DoRothEA_confA,Activator,Hill_activator,-0.336164642358217,0.999941599553479
MAFB,ANKRD17,1,DoRothEA_confC,Activator,Hill_activator,-0.0951709050651454,0.999941599553479
KLF5,ANXA2,1,DoRothEA_confC,Activator,Hill_activator,-0.366952729782368,0.999941599553479
KLF6,ANXA2,1,DoRothEA_confC,Activator,Hill_activator,-0.366952729782368,0.999941599553479
AR,AP2M1,3,DoRothEA_confA,Activator,Hill_activator,-0.0258614003919391,0.999941599553479
MAFB,APBB2,1,DoRothEA_confC,Activator,Hill_activator,-0.0486854824710251,0.999941599553479
AR,APPBP2,3,DoRothEA_confA,Activator,Hill_activator,0.112736579656095,0.999941599553479
